ListingKey,每个列表的唯一键，与API中列表对象中使用的“键”值相同。,"Unique key for each listing, same value as the 'key' used in the listing object in the API."
ListingNumber,对外展示的唯一ID（订单号）,The number that uniquely identifies the listing to the public as displayed on the website.
ListingCreationDate,创建日期,The date the listing was created.
CreditGrade,信用评级,The Credit rating that was assigned at the time the listing went live. Applicable for listings pre-2009 period and will only be populated for those listings.
Term,贷款期限（月）,The length of the loan expressed in months.
LoanStatus,贷款状态（已取消，已收费，已完成，当前，违约，最终付款进度，逾期）,"The current status of the loan: Cancelled, Chargedoff, Completed, Current, Defaulted, FinalPaymentInProgress, PastDue. The PastDue status will be accompanied by a delinquency bucket."
ClosedDate,结束日期（已取消，已完成，已抵押和违约的贷款状态）,"Closed date is applicable for Cancelled, Completed, Chargedoff and Defaulted loan statuses."
BorrowerAPR,借款人的贷款年利率（APR）,The Borrower's Annual Percentage Rate (APR) for the loan.
BorrowerRate,借款人对此贷款的利率,The Borrower's interest rate for this loan.
LenderYield,贷款人的贷款收益率（贷方收益率等于贷款利率减去服务费）,The Lender yield on the loan. Lender yield is equal to the interest rate on the loan less the servicing fee.
EstimatedEffectiveYield,有效收益率等于借款人利率（i）减去服务费率，（ii）减去未收取的未收取的撇帐利息，（iii）加上估计收取的滞纳金。适用于2009年7月以后发放的贷款,"Effective yield is equal to the borrower interest rate (i) minus the servicing fee rate, (ii) minus estimated uncollected interest on charge-offs, (iii) plus estimated collected late fees. Applicable for loans originated after July 2009."
EstimatedLoss,估计损失是计算的主要损失（适用于2009年7月以后发放的贷款）,Estimated loss is the estimated principal loss on charge-offs. Applicable for loans originated after July 2009.
EstimatedReturn,创建时分配给商家信息的估算回报（估计收益是估计有效收益率与估计损失率之间的差额。适用于2009年7月以后发放的贷款）,The estimated return assigned to the listing at the time it was created. Estimated return is the difference between the Estimated Effective Yield and the Estimated Loss Rate. Applicable for loans originated after July 2009.
ProsperRating (numeric),评级（0  -  N / A，1  -  HR，2  -  E，3  -  D，4  -  C，5  -  B，6  -  A，7  -  AA）适用于2009年7月以后发放的贷款,"The Prosper Rating assigned at the time the listing was created: 0 - N/A, 1 - HR, 2 - E, 3 - D, 4 - C, 5 - B, 6 - A, 7 - AA. Applicable for loans originated after July 2009."
ProsperRating (Alpha),在AA  -  HR之间创建列表时分配的Prosper评级。适用于2009年7月以后发放的贷款。,The Prosper Rating assigned at the time the listing was created between AA - HR. Applicable for loans originated after July 2009.
ProsperScore,使用历史Prosper数据构建的自定义风险评分。得分范围从1-10，其中10是最佳或最低风险得分。适用于2009年7月以后发放的贷款。,"A custom risk score built using historical Prosper data. The score ranges from 1-10, with 10 being the best, or lowest risk score. Applicable for loans originated after July 2009."
